6,FieldNote,,1402008037687,1402018597546,,-106.8203,39.19416,3,8
7,FieldNote,,1402008108819,1402062800379,,-106.8199,39.19415,3,8
8,FieldNote,,1402008128534,1402008128534,,-106.8199,39.19415,3,8
9,FieldNote,,1402008150140,1402008177128,,-106.82,39.19416,3,8
10,FieldNote,,1402008177465,1402008177465,,-106.8202,39.19419,3,8
11,FieldNote,,1402008197631,1402008197631,,-106.8204,39.19421,3,8
12,FieldNote,what is this tree?,1402008226252,1402018545345,,-106.8209,39.1945,3,8
13,FieldNote,,1402008255430,1402062800932,,-106.821,39.19467,3,8
14,FieldNote,,1402008426083,1402008426083,,-106.8209,39.19477,3,8
15,FieldNote,,1402008595413,1402062784407,,-106.8202,39.19448,3,8
16,FieldNote,junior naturalist ready to go,1402008614486,1402018510522,,-106.8203,39.19448,3,8
17,FieldNote,,1402008699726,1402018479070,,-106.8211,39.19513,3,8
23,FieldNote,I saw a swallow flying around, but it was too fast to photograph.,1402068081729,1402089818575,,-106.8214,39.19487,5,8
24,FieldNote,beautiful ,1402068190823,1402153340557,,-106.8213,39.19486,5,8
25,FieldNote,fallen tree,1402069410662,1402153340946,,-106.8219,39.1951,5,8
27,FieldNote,I don't see any evidence of beavers here.,1402069797294,1402069797294,,-106.8224,39.19584,5,9
28,FieldNote,I saw a robin hopping around the outdoor classroom.,1402069809729,1402153341420,,-106.8218,39.19593,5,9
29,FieldNote,Two slugs devouring a leaf.,1402069822843,1402153341703,,-106.8217,39.19593,5,9
30,FieldNote,,1402071379505,1402153341903,,-106.8214,39.1949,5,9
31,FieldNote,Pond in the morning,1402071601823,1402071601823,,-106.8209,39.1948,5,9
32,FieldNote,there is a magpie on the fallen tree,1402074422228,1402074422228,,-106.8218,39.19519,5,9
37,FieldNote,#5,1402074758630,1402074758630,,-106.822,39.19588,5,9
38,FieldNote,this looks like it was made by a beaver. why is it so close to the bridge?,1402075055562,1402075055562,,-106.8215,39.19618,5,9
39,FieldNote,tangled tree roots,1402075076283,1402075076283,,-106.8216,39.19642,5,10
40,FieldNote,is this from a deer's antlers?,1402075092182,1402075092182,,-106.8215,39.19644,5,9
41,FieldNote,the water is high today,1402075103863,1402153342238,,-106.8215,39.19647,5,9
42,FieldNote,does a goose live here?,1402075117743,1402153342412,,-106.8214,39.19674,5,9
43,FieldNote,who made this?,1402075132945,1402153342750,,-106.8214,39.19672,5,9
44,FieldNote,some kind of cattails?,1402075144652,1402075144652,,-106.8218,39.19694,5,9
45,FieldNote,view of the ski slopes in june,1402075158053,1402153342993,,-106.8219,39.19715,5,9
46,FieldNote,I saw a tiny yellow bird in this tree. maybe a goldfinch or warbler,1402075179750,1402153343628,,-106.8222,39.19712,5,9
47,FieldNote,a deer!,1402075193577,1402153343897,,-106.8213,39.19616,5,9
48,FieldNote,I hear birds but I don't see them,1402075211306,1402153344190,,-106.8212,39.19615,5,9
49,FieldNote,the river is moving fast,1402075230191,1402084518098,,-106.8213,39.19619,5,9
